BookTitle	Author	genre_list	year_published	avg_rating	num_ratings	num_works
Maskerade	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Suspense']	1995.0	8.0	4.0	42
Shade's Children	Garth Nix	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Dystopia']	1997.0	7.125	13.0	15
The Bonfire of the Vanities	Tom Wolfe	['Fiction', 'Novel']	1988.0	7.616071428571429	57.0	3
On My Way to Paradise	Dave Wolverton	['Science Fiction']	1989.0	10.0	1.0	9
Ice Station Zebra	Alistair MacLean	['Thriller', 'Novel']	1960.0	8.0	1.0	27
The Owl Service	Alan Garner	['Fantasy', 'Speculative fiction', 'Young adult literature']	1997.0	7.666666666666667	9.0	6
Baudolino	Umberto Eco	['Speculative fiction', 'Historical fiction', 'Romance novel', 'Fantasy', 'Fiction', 'Historical novel']	2002.0	7.193650793650793	25.0	5
The Ugly Little Boy	Isaac Asimov	['Science Fiction', 'Novel']	1992.0	6.638888888888889	11.0	36
A Walk in the Woods: Rediscovering America on the Appalachian Trail	Bill Bryson	['Non-fiction']	1998.0	8.224137931034484	31.0	2
In the Country of Last Things	Paul Auster	['Speculative fiction', 'Dystopia', 'Utopian and dystopian fiction']	1987.0	6.5	2.0	9
The Path to the Nest of Spiders	Italo Calvino	[]	1993.0	8.0	1.0	4
Down and Out in the Magic Kingdom	Cory Doctorow	['Science Fiction', 'Speculative fiction']	2003.0	7.666666666666666	8.0	3
I Never Promised You a Rose Garden	Joanne Greenberg	"['Autobiographical novel', ""Children's literature"", 'Fiction']"	1977.0	8.019607843137255	19.0	1
The Sum of All Fears	Tom Clancy	['Thriller', 'Speculative fiction', 'Fiction']	1991.0	7.12037037037037	54.0	15
He, She and It	Marge Piercy	['Science Fiction', 'Speculative fiction', 'Fiction']	1993.0	7.571428571428571	7.0	2
The Integral Trees	Larry Niven	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	1989.0	7.4	5.0	16
The Age of Innocence	Edith Wharton	['Fiction', 'Romance novel', 'Novel']	1920.0	8.4375	7.0	5
With Fire and Sword	Henryk Sienkiewicz	['Historical novel']	1993.0	8.0	1.0	3
The Tao of Pooh	Benjamin Hoff	[]	1982.0	7.89480198019802	113.0	2
Riddley Walker	Russell Hoban	['Science Fiction', 'Speculative fiction', 'Fiction', 'Utopian and dystopian fiction']	1981.0	7.45	8.0	4
N or M?	Agatha Christie	['Crime Fiction', 'Mystery']	1981.0	8.75	9.0	74
The Seven Dials Mystery	Agatha Christie	['Crime Fiction', 'Mystery', 'Fiction', 'Suspense']	1983.0	9.0	1.0	74
Travesties	Tom Stoppard	[]	1975.0	10.0	1.0	10
Pet Sematary	Stephen King	['Speculative fiction', 'Horror', 'Fiction', 'Suspense']	1984.0	7.472864010989011	102.0	60
Firestarter	Stephen King	"['Thriller', 'Science Fiction', ""Children's literature"", 'Horror', 'Speculative fiction', 'Mystery', 'Fiction']"	1980.0	7.8875	44.0	60
The Regulators	Stephen King	['Science Fiction', 'Speculative fiction', 'Horror']	2002.0	6.7407407407407405	27.0	60
Oryx and Crake	Margaret Atwood	['Dystopia', 'Science Fiction', 'Speculative fiction', 'Novel', 'Utopian and dystopian fiction']	2003.0	8.375	32.0	11
Temple	Matthew Reilly	['Thriller', 'Techno-thriller', 'Speculative fiction', 'Fiction', 'Novel']	2000.0	7.25	10.0	11
The Man Who Folded Himself	David Gerrold	['Time travel', 'Speculative fiction', 'Science Fiction', 'Fiction']	2003.0	8.0	2.0	5
Invisible Monsters	Chuck Palahniuk	['Speculative fiction', 'Fiction', 'Novel']	1999.0	7.65625	32.0	12
Speak	Laurie Halse Anderson	"[""Children's literature"", 'Fiction', 'Novel']"	1999.0	8.8875	45.0	5
The Secret of Chimneys	Agatha Christie	['Crime Fiction', 'Mystery', 'Fiction', 'Suspense']	1981.0	9.0	2.0	74
The Pelican Brief	John Grisham	"[""Children's literature"", 'Fiction', 'Novel']"	1992.0	7.293103448275862	175.0	23
Unweaving the Rainbow: Science, Delusion and the Appetite for Wonder	Richard Dawkins	['Non-fiction']	1998.0	7.5	2.0	5
In the Skin of a Lion	Michael Ondaatje	['Fiction']	1987.0	9.0	3.0	5
Interesting Times	Terry Pratchett	"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Fantasy', 'Suspense', 'Fiction']"	1997.0	10.0	1.0	42
1876	Gore Vidal	['History', 'Novel']	1976.0	9.0	1.0	11
Reaper Man	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1992.0	8.515873015873016	16.0	42
Men at Arms	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1997.0	8.0	13.0	42
Hogfather	Terry Pratchett	['Speculative fiction', 'Fantasy', 'Fiction']	1999.0	9.083333333333332	13.0	42
Thief of Time	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	2001.0	8.075	19.0	42
Code of the Lifemaker	James P. Hogan	['Science Fiction', 'Speculative fiction', 'Fiction']	1995.0	8.0	2.0	5
A Wrinkle in Time	Madeleine L'Engle	"['Fantasy', 'Science Fiction', 'Speculative fiction', 'Young adult literature', ""Children's literature""]"	1962.0	8.631493506493506	89.0	17
The Outsiders	S. E. Hinton	"[""Children's literature"", 'Young adult literature', 'Speculative fiction', 'Fiction']"	1967.0	7.854166666666667	34.0	6
The Power and the Glory	Graham Greene	"['Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"	1982.0	7.714285714285714	7.0	20
The End of the Affair	Graham Greene	['Speculative fiction', 'Fiction', 'Novel']	1970.0	7.666666666666666	7.0	20
Master Harold...and the Boys	Athol Fugard	[]	1984.0	7.0	3.0	2
The Idiot	Fyodor Dostoyevsky	['Novel']	1995.0	8.0	1.0	16
Telempath	Spider Robinson	['Science Fiction', 'Speculative fiction', 'Fiction']	1977.0	7.5	2.0	6
Tell Me Your Dreams	Sidney Sheldon	['Thriller']	1998.0	6.491978609625669	40.0	18
The Doomsday Conspiracy	Sidney Sheldon	['Thriller', 'Fiction', 'Novel']	1991.0	6.899305555555555	25.0	18
Altered Carbon	Richard Morgan	['Science Fiction', 'Speculative fiction', 'Hardboiled']	2002.0	10.0	1.0	6
Death on the Nile	Agatha Christie	['Crime Fiction', 'Mystery', 'Fiction', 'Suspense']	1978.0	7.375	5.0	74
Palestine	Joe Sacco	['Comics', 'Comic book', 'Fiction', 'Graphic novel', 'Humour']	2002.0	9.0	3.0	2
Like a Velvet Glove Cast in Iron	Daniel Clowes	['Comics', 'Speculative fiction', 'Fiction', 'Humour']	1998.0	8.5	2.0	2
Moon Palace	Paul Auster	['Speculative fiction', 'Fiction', 'Picaresque novel']	1993.0	10.0	1.0	9
The Vagina Monologues	Eve Ensler	[]	1998.0	7.375	8.0	1
Bridge of Birds	Barry Hughart	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1990.0	8.272727272727273	11.0	3
Angels and Demons	Dan Brown	['Thriller', 'Crime Fiction', 'Novel', 'Speculative fiction', 'Mystery', 'Fiction', 'Cabal', 'Conspiracy']	2003.0	7.636363636363637	11.0	5
Windmills of the Gods	Sidney Sheldon	['Thriller', 'Fiction']	1987.0	7.05	24.0	18
Bill, the Galactic Hero	Harry Harrison	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1989.0	5.0	2.0	8
Decline and Fall	Evelyn Waugh	['Satire', 'Novel', 'Fiction', 'Comedy']	1993.0	7.0	3.0	7
Ethan Frome	Edith Wharton	"['Fantasy', ""Children's literature"", 'Horror', 'Fiction', 'Romance novel']"	1910.0	8.111111111111112	5.0	5
White Oleander	Janet Fitch	['Fiction', 'Bildungsroman', 'Novel']	2002.0	6.0	1.0	2
Macroscope	Piers Anthony	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1983.0	7.0	3.0	41
Lanark: A Life in Four Books	Alasdair Gray	['Science Fiction', 'Fantasy', 'Fiction', 'Dystopia', 'Novel']	2002.0	5.0	1.0	5
The Stars My Destination	Alfred Bester	['Science Fiction', 'Speculative fiction', 'Fiction']	1994.0	8.076923076923077	13.0	4
Titan	John Varley	['Science Fiction', 'Speculative fiction', 'Novel']	1979.0	8.9	12.0	8
The Rules of Attraction	Bret Easton Ellis	['Black comedy', 'Satire']	1987.0	4.961538461538462	14.0	5
The City and the Stars	Arthur C. Clarke	['Science Fiction', 'Speculative fiction', 'Novel']	1991.0	7.0	1.0	22
The Portrait of a Lady	Henry James	['Novel']	1995.0	7.0	7.0	44
The Edible Woman	Margaret Atwood	['Speculative fiction', 'Fiction', 'Novel']	1980.0	8.1	6.0	11
Congo	Michael Crichton	"['Science Fiction', ""Children's literature"", 'Adventure novel', 'Speculative fiction', 'Fiction', 'Lost World', 'Suspense']"	1980.0	7.7517006802721085	100.0	22
Looking Backward	Edward Bellamy	['Science Fiction', 'Speculative fiction', 'Utopian and dystopian fiction']	1960.0	7.0	1.0	3
Witches Abroad	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	2002.0	7.6	10.0	42
Lords and Ladies	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1996.0	8.125	8.0	42
Old Yeller	Fred Gipson	"[""Children's literature"", 'Fiction']"	1942.0	7.444444444444445	6.0	1
The Last Book in the Universe	Rodman Philbrick	['Science Fiction', 'Speculative fiction']	2000.0	8.375	8.0	5
Eight Skilled Gentlemen	Barry Hughart	['Speculative fiction', 'Fantasy']	1991.0	6.5	2.0	3
God Bless You, Dr. Kevorkian	Kurt Vonnegut	['Speculative fiction']	2000.0	8.5625	10.0	15
Elidor	Alan Garner	"['Speculative fiction', 'Fantasy', ""Children's literature""]"	1993.0	7.0	3.0	6
Freak the Mighty	Rodman Philbrick	"[""Children's literature"", 'Young adult literature']"	2001.0	8.333333333333334	6.0	5
Darkness at Noon	Arthur Koestler	['Fiction', 'Novel']	1984.0	8.0	1.0	3
A Handful of Dust	Evelyn Waugh	['Fiction', 'Novel']	1999.0	8.0	3.0	7
Never Cry Wolf	Farley Mowat	"['Nature', ""Children's literature"", 'Fiction', 'Non-fiction']"	1977.0	8.5	18.0	5
The Mauritius Command	Patrick O'Brian	['Historical fiction', 'Fiction', 'Historical novel']	1991.0	10.0	1.0	23
A Hat Full of Sky	Terry Pratchett	"['Speculative fiction', ""Children's literature""]"	2004.0	8.833333333333334	6.0	42
The Surgeon's Mate	Patrick O'Brian	['Naval adventure', 'Historical novel']	1992.0	9.5	2.0	23
According to Mary Magdalene	Marianne Fredriksson	['Fiction', 'Novel']	1999.0	6.5	2.0	1
Insomnia	Stephen King	"['Fantasy', ""Children's literature"", 'Horror', 'Speculative fiction', 'Fiction']"	1994.0	7.447477650063857	113.0	60
Fallen Angels	Larry Niven	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Dystopia']	2002.0	6.0	2.0	16
The Music of Chance	Paul Auster	['Mystery', 'Fiction']	1993.0	7.727272727272727	11.0	9
The Anubis Gates	Tim Powers	['Time travel', 'Speculative fiction', 'Fantasy', 'Steampunk']	1983.0	9.071428571428571	8.0	5
The Bone People	Keri Hulme	['Mystery', 'Fiction']	1986.0	8.868421052631579	20.0	1
The Witches	Roald Dahl	"['Speculative fiction', ""Children's literature"", 'Fiction']"	1983.0	7.733333333333333	7.0	18
The Nutmeg of Consolation	Patrick O'Brian	['Historical fiction', 'Fiction', 'Historical novel']	1993.0	10.0	1.0	23
Momo	Michael Ende	"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	1985.0	10.0	2.0	4
Many Waters	Madeleine L'Engle	"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Young adult literature', 'Fantasy', 'Fiction']"	1986.0	8.313725490196079	20.0	17
The Drifters	James A. Michener	['Speculative fiction', 'Historical novel']	1986.0	7.333333333333333	3.0	6
The Cay	Theodore Taylor	"['Speculative fiction', ""Children's literature"", 'Novel']"	1995.0	9.392857142857142	11.0	1
Franny and Zooey	J. D. Salinger	['Short story', 'Fiction', 'Novella', 'Novel']	1981.0	9.666666666666666	3.0	2
The Fortune of War	Patrick O'Brian	['Naval adventure', 'Historical fiction', 'Fiction', 'Historical novel']	1991.0	9.333333333333334	3.0	23
The Reverse of the Medal	Patrick O'Brian	['Historical fiction', 'Fiction', 'Historical novel']	1992.0	10.0	1.0	23
The Letter of Marque	Patrick O'Brian	['Historical fiction', 'Fiction', 'Historical novel']	1992.0	9.5	2.0	23
Blue at the Mizzen	Patrick O'Brian	['Fiction', 'Historical novel']	2000.0	10.0	1.0	23
The Commodore	Patrick O'Brian	['Historical fiction', 'Fiction', 'Historical novel']	1995.0	8.0	1.0	23
The Wine-Dark Sea	Patrick O'Brian	['Historical fiction', 'Fiction', 'Historical novel']	1994.0	10.0	1.0	23
The Book of Skulls	Robert Silverberg	['Fantasy', 'Science Fiction', 'Speculative fiction', 'Horror', 'Fiction']	1979.0	10.0	1.0	24
The Road to Wellville	T. Coraghessan Boyle	['Fiction', 'Novel']	1993.0	7.277777777777778	15.0	8
A Separate Peace	John Knowles	"[""Children's literature"", 'Young adult literature', 'Fiction', 'Bildungsroman', 'Novel']"	1975.0	7.708333333333333	62.0	2
Earthlight	Arthur C. Clarke	['Science Fiction']	1979.0	8.0	1.0	22
A Fall of Moondust	Arthur C. Clarke	['Hard science fiction', 'Science Fiction', 'Speculative fiction']	1961.0	4.5	2.0	22
Our Mutual Friend	Charles Dickens	['Speculative fiction', 'Fiction', 'Novel']	1978.0	8.0	2.0	20
Earth	David Brin	['Science Fiction', 'Speculative fiction', 'Fiction']	1991.0	8.705882352941178	18.0	13
The Borrowers	Mary Norton	"[""Children's literature"", 'Fantasy']"	1953.0	9.416666666666666	9.0	5
The Neon Bible	John Kennedy Toole	['Fiction', 'Novel']	1990.0	7.333333333333333	3.0	1
The Moon Is Down	John Steinbeck	['Novel']	1982.0	7.5	2.0	15
The Eagle Has Landed	Jack Higgins	['Thriller', 'Mystery', 'War novel', 'Fiction']	1975.0	8.75	6.0	6
Night Watch	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	2002.0	8.135714285714286	17.0	42
The Bonesetter's Daughter	Amy Tan	[]	2001.0	8.017857142857142	163.0	4
Less Than Zero	Bret Easton Ellis	['Fiction']	1985.0	6.222222222222222	9.0	5
That Was Then, This Is Now	S. E. Hinton	"[""Children's literature"", 'Young adult literature', 'Speculative fiction', 'Fiction']"	1989.0	8.277777777777779	12.0	6
From a Buick 8	Stephen King	['Fantasy', 'Science Fiction', 'Speculative fiction', 'Horror', 'Fiction']	2003.0	7.35	40.0	60
Three Men in a Boat	Jerome K. Jerome	"[""Children's literature"", 'Fiction']"	1990.0	10.0	1.0	1
The Te of Piglet	Benjamin Hoff	[]	1992.0	7.587878787878788	37.0	2
The Jesus Incident	Frank Herbert	['Science Fiction', 'Speculative fiction']	1980.0	6.333333333333333	3.0	20
Billy Bathgate	E. L. Doctorow	['Fiction', 'Novel']	1989.0	5.5	2.0	4
The Joy Luck Club	Amy Tan	"[""Children's literature"", 'Fiction', 'Novel']"	1991.0	7.801403207331042	208.0	4
Redemption Ark	Alastair Reynolds	['Science Fiction', 'Novel', 'Hard science fiction', 'Speculative fiction', 'Mystery', 'Suspense']	2003.0	8.0	1.0	10
White Fang	Jack London	"[""Children's literature"", 'Fiction', 'Adventure novel']"	1981.0	7.9375	19.0	7
Where Late the Sweet Birds Sang	Kate Wilhelm	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	1998.0	8.0	1.0	1
Anglo-Saxon Attitudes	Angus Wilson	['Fiction', 'Novel']	1978.0	8.0	2.0	2
Forever Free	Joe Haldeman	['Science Fiction', 'Novel']	1999.0	7.0	4.0	8
Another Roadside Attraction	Tom Robbins	['Speculative fiction', 'Fiction', 'Novel']	1980.0	8.222222222222221	6.0	6
The Notebook	Nicholas Sparks	['Romance novel']	1996.0	8.600008668515951	293.0	8
Millennium	John Varley	['Science Fiction', 'Speculative fiction', 'Novel']	1983.0	7.25	5.0	8
Women in Love	D. H. Lawrence	['Fiction', 'Romance novel']	1976.0	7.611111111111111	7.0	9
Journey to the Center of the Earth	Jules Verne	"['Science Fiction', ""Children's literature"", 'Fiction', 'Adventure novel', 'Scientific romance']"	1965.0	8.466666666666667	8.0	36
The Redemption of Althalus	David Eddings	['Speculative fiction', 'Fantasy']	2000.0	6.875	18.0	2
Brazzaville Beach	William Boyd	[]	1991.0	8.5	5.0	8
The Indian in the Cupboard	Lynne Reid Banks	"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	1999.0	7.714285714285714	28.0	2
Area 7	Matthew Reilly	['Techno-thriller', 'Fiction']	2002.0	7.5	12.0	11
Callahan's Crosstime Saloon	Spider Robinson	['Speculative fiction']	1987.0	8.214285714285715	9.0	6
The Witches of Eastwick	John Updike	['Speculative fiction']	1995.0	7.520833333333334	22.0	12
Faerie Tale	Raymond E. Feist	['Speculative fiction', 'Fantasy']	1988.0	7.75	9.0	21
Abhorsen	Garth Nix	"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	2003.0	7.0	1.0	15
Right Ho, Jeeves	P. G. Wodehouse	['Novel']	1975.0	8.75	3.0	50
Green Darkness	Anya Seton	['Speculative fiction', 'Historical fiction', 'Romance novel', 'Fantasy', 'Fiction', 'Historical novel']	1973.0	9.0	1.0	8
Demian	Hermann Hesse	"['Novel', ""Children's literature"", 'Künstlerroman', 'Speculative fiction', 'Fiction']"	1968.0	8.916666666666666	6.0	12
Leaven of Malice	Robertson Davies	['Fiction']	1980.0	7.0	2.0	6
Hawaii	James A. Michener	"[""Children's literature"", 'Fiction']"	1976.0	6.56	15.0	6
The Intuitionist	Colson Whitehead	['Speculative fiction', 'Novel']	1998.0	8.041666666666668	7.0	4
The Giving Tree	Shel Silverstein	"['Picture book', ""Children's literature"", 'Fiction']"	1964.0	9.041666666666668	26.0	3
The House at Pooh Corner	A. A. Milne	"[""Children's literature""]"	1992.0	8.666666666666666	6.0	2
Queen of Angels	Greg Bear	['Science Fiction', 'Speculative fiction', 'Novel']	1991.0	5.75	4.0	15
The Street Lawyer	John Grisham	['Thriller', 'Mystery', 'Fiction', 'Suspense']	1998.0	7.662955465587045	73.0	23
The Runaway Jury	John Grisham	['Mystery', 'Novel', 'Fiction', 'Suspense']	1996.0	6.45	7.0	23
Polgara the Sorceress	David Eddings	['Speculative fiction', 'Fantasy', 'Fiction']	1997.0	7.5	4.0	2
Distress	Greg Egan	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1998.0	6.6	5.0	9
Once Were Warriors	Alan Duff	['Fiction']	1995.0	10.0	1.0	1
Eye of the Needle	Ken Follett	['Fiction', 'Suspense']	1979.0	7.42	11.0	10
Raptor Red	Robert T. Bakker	['Science Fiction', 'Novel']	1995.0	5.5	2.0	1
Martin Chuzzlewit	Charles Dickens	['Novel']	1986.0	10.0	1.0	20
The Fall of Hyperion	Dan Simmons	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1991.0	7.615384615384615	13.0	11
Hornet Flight	Ken Follett	['Thriller', 'Young adult literature', 'Fiction']	2002.0	7.017857142857142	35.0	10
Skinny Dip	Carl Hiaasen	['Crime Fiction', 'Fiction', 'Novel']	2004.0	8.142857142857142	7.0	14
Dragonsong	Anne McCaffrey	"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Young adult literature', 'Fantasy', 'Fiction']"	1977.0	8.794642857142858	13.0	25
Postcards from the Edge	Carrie Fisher	['Fiction', 'Novel']	1987.0	7.2	15.0	4
The Chronoliths	Robert Charles Wilson	['Science Fiction', 'Speculative fiction', 'Novel']	2001.0	7.690476190476191	10.0	7
Alphabet of Thorn	Patricia A. McKillip	['Speculative fiction', 'Fantasy']	2004.0	6.0	2.0	14
And the Ass Saw the Angel	Nick Cave	['Gothic fiction', 'Fiction', 'Novel']	1992.0	5.25	3.0	1
Music for Chameleons	Truman Capote	['Short story']	1981.0	8.25	4.0	6
Zuleika Dobson	Max Beerbohm	['Satire', 'Novel']	1991.0	7.0	1.0	1
To the Lighthouse	Virginia Woolf	"[""Children's literature"", 'Fiction', 'Novel']"	1978.0	7.095833333333334	31.0	8
Friday the Rabbi Slept Late	Harry Kemelman	['Mystery', 'Fiction', 'Suspense']	1985.0	7.5	2.0	1
Timescape	Gregory Benford	['Science Fiction', 'Novel', 'Speculative fiction', 'Fantasy', 'Fiction', 'Time travel']	1996.0	7.6	10.0	6
Abarat	Clive Barker	['Fantasy', 'Speculative fiction', 'Young adult literature']	2002.0	8.6	5.0	13
Wonderful Life: The Burgess Shale and the Nature of History	Stephen Jay Gould	['Mathematics', 'Non-fiction', 'Science']	1990.0	9.333333333333334	3.0	2
You Shall Know Our Velocity	Dave Eggers	['Novel']	2002.0	5.333333333333333	3.0	3
The Elfstones of Shannara	Terry Brooks	"['High fantasy', ""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	1982.0	6.0	2.0	25
The Mysterious Island	Jules Verne	"['Science Fiction', ""Children's literature"", 'Novel', 'Adventure novel', 'Fiction', 'Scientific romance']"	1986.0	7.0	1.0	36
The Wishsong of Shannara	Terry Brooks	"['Science Fiction', ""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	1985.0	8.545454545454545	12.0	25
First King of Shannara	Terry Brooks	['Speculative fiction', 'Fantasy', 'High fantasy']	1996.0	8.5	6.0	25
Time Stops for No Mouse	Michael Hoeye	"['Mystery', 'Speculative fiction', ""Children's literature"", 'Fiction']"	2002.0	6.0	1.0	3
Barnaby Rudge	Charles Dickens	['Fiction', 'Historical novel']	1999.0	5.0	1.0	20
Ancient Shores	Jack McDevitt	['Science Fiction', 'Speculative fiction']	1996.0	6.166666666666666	4.0	6
The Big Four	Agatha Christie	['Crime Fiction', 'Mystery', 'Fiction', 'Suspense']	1984.0	7.0	5.0	74
The Worm Ouroboros	Eric Rucker Eddison	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Romance novel']	1973.0	9.0	1.0	1
Rising Sun	Michael Crichton	['Crime Fiction', 'Mystery', 'Science Fiction', 'Fiction', 'Suspense']	1992.0	6.8	5.0	22
Glory Season	David Brin	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Novel']"	1996.0	6.5	7.0	13
The Lathe of Heaven	Ursula K. Le Guin	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Dystopia']	1995.0	8.125	8.0	17
The Lost World	Arthur Conan Doyle	['Science Fiction', 'Lost World', 'Speculative fiction', 'Scientific romance']	2001.0	10.0	1.0	18
Alexander's Bridge	Willa Cather	['Fiction', 'Novel']	1977.0	8.0	2.0	12
The Life and Loves of a She-Devil	Fay Weldon	['Mystery', 'Novel', 'Fiction', 'Suspense']	1984.0	7.928571428571429	14.0	2
The King of Torts	John Grisham	['Mystery', 'Novel', 'Fiction', 'Suspense']	2003.0	7.7078651685393265	91.0	23
The Wings of the Dove	Henry James	['Novel']	1997.0	9.0	1.0	44
The Golden Bowl	Henry James	['Novel']	2000.0	6.5	2.0	44
Go Tell It on the Mountain	James Baldwin	['Autobiographical novel']	1985.0	8.8	11.0	10
The Secret Agent	Joseph Conrad	"['Spy fiction', ""Children's literature"", 'Fiction']"	1991.0	8.0	2.0	10
Wasp	Eric Frank Russell	['Science Fiction', 'Speculative fiction', 'Fiction']	1986.0	9.0	3.0	5
Amusing Ourselves to Death: Public Discourse in the Age of Show Business	Neil Postman	['Non-fiction']	1985.0	7.944444444444445	10.0	1
Hard Times	Charles Dickens	['Industrial novel', 'Novel']	1958.0	8.0	3.0	20
The Leopard	Giuseppe Tomasi di Lampedusa	['Fiction', 'Novel']	1991.0	7.5	6.0	1
The Dalkey Archive	Flann O'Brien	['Comic novel', 'Speculative fiction', 'Fiction']	1977.0	7.0	1.0	4
Brighton Rock	Graham Greene	['Thriller', 'Crime Fiction', 'Speculative fiction', 'Fiction']	1970.0	8.5	4.0	20
The Bear and the Dragon	Tom Clancy	['Thriller', 'Novel']	2000.0	8.891304347826086	24.0	15
The 158-Pound Marriage	John Irving	['Novel']	1994.0	7.1	10.0	11
Red Shift	Alan Garner	['Speculative fiction', 'Fantasy']	1973.0	6.5	2.0	6
Tropic of Cancer	Henry Miller	['Autobiographical novel', 'Erotica', 'Novel']	1978.0	7.846153846153847	14.0	1
The Moviegoer	Walker Percy	['Music', 'Speculative fiction', 'Fiction']	1961.0	5.791666666666667	16.0	1
Of Human Bondage	W. Somerset Maugham	"['Autobiographical novel', ""Children's literature"", 'Künstlerroman', 'Fiction']"	1955.0	7.111111111111111	5.0	12
Scoop	Evelyn Waugh	"[""Children's literature"", 'Novel', 'Fiction', 'Comedy']"	1999.0	8.0	7.0	7
The Ginger Man	J. P. Donleavy	['Fiction']	2001.0	7.0	4.0	1
The Magus	John Fowles	"['Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"	1985.0	7.313186813186813	22.0	5
Tobacco Road	Erskine Caldwell	[]	1982.0	9.833333333333332	4.0	1
Ragtime	E. L. Doctorow	"['Speculative fiction', ""Children's literature"", 'Fiction', 'Historical novel']"	1975.0	7.783333333333334	20.0	4
The Journey of Ibn Fattouma	Naguib Mahfouz	['Novel']	1993.0	6.0	2.0	9
The Dark Half	Stephen King	"[""Children's literature"", 'Horror', 'Speculative fiction', 'Fiction']"	1992.0	7.906626246990024	97.0	60
Sandman: The Dream Hunters	Neil Gaiman	['Novella']	1999.0	8.791666666666668	11.0	11
The Tale of Peter Rabbit	Beatrix Potter	"['Picture book', ""Children's literature"", 'Fantasy', 'Fiction']"	1979.0	7.666666666666667	4.0	23
Cocaine Nights	J. G. Ballard	['Science Fiction', 'Speculative fiction', 'Fiction']	1998.0	6.25	3.0	17
Concrete Island	J. G. Ballard	['Science Fiction', 'Speculative fiction', 'Fiction']	1994.0	8.5	2.0	17
The Summons	John Grisham	['Mystery', 'Novel', 'Fiction', 'Suspense']	2002.0	6.188457943925234	308.0	23
Needful Things	Stephen King	['Speculative fiction', 'Horror', 'Fiction']	1993.0	6.780952380952381	76.0	60
The Stingray Shuffle	Tim Dorsey	['Crime Fiction']	2003.0	9.0	3.0	8
La Celestina	Fernando de Rojas	['Novel']	2001.0	8.0	1.0	1
Kate Vaiden	Reynolds Price	['Fiction', 'Novel']	1991.0	8.5	6.0	1
Love You Forever	Robert Munsch	['Fiction']	1986.0	8.75	11.0	2
Island of the Blue Dolphins	Scott O'Dell	"[""Children's literature"", 'Fiction']"	1960.0	7.5	4.0	3
Kiln People	David Brin	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	2002.0	7.0	1.0	13
The Poisonwood Bible	Barbara Kingsolver	['Fiction', 'Novel']	1998.0	8.324660633484164	112.0	6
Angle of Repose	Wallace Stegner	['Novel']	1985.0	7.0	1.0	1
The Death of the Heart	Elizabeth Bowen	[]	1984.0	9.0	1.0	5
The House of Mirth	Edith Wharton	['Fiction', 'Novel']	1981.0	9.0	8.0	5
Lilith	George MacDonald	['Speculative fiction', 'Fantasy']	1981.0	9.0	1.0	12
A Grief Observed	C. S. Lewis	[]	1983.0	7.25	7.0	14
Triggerfish Twist	Tim Dorsey	['Crime Fiction']	2003.0	7.1	20.0	8
Middlesex	Jeffrey Eugenides	['Transgender and transsexual fiction', 'Fiction', 'Novel']	2002.0	8.0	1.0	3
The Autobiography of Alice B. Toklas	Gertrude Stein	['Autobiography', 'Biography']	1990.0	7.5	4.0	1
The Curious Incident of the Dog in the Night-time	Mark Haddon	['Mystery']	2003.0	9.0	1.0	2
